TreeID,Edible Fruit/Nut/Seed ,Lumber,Fuelwood
1,0,1,0
2,0,0,0
3,0,1,1
4,0,0,0
5,0,1,0
6,0,1,1
7,0,1,1
8,0,0,0
9,0,0,1
10,0,1,1
11,1,0,0
12,1,0,0
13,0,1,1
14,0,1,1
15,0,0,0
16,0,1,1
17,0,0,1
18,0,0,1
19,0,1,1
20,0,1,1
21,1,1,1
22,1,1,1
23,0,1,1
24,1,1,1
25,0,1,1
26,0,0,0
27,0,1,0
28,0,0,0
29,0,0,0
30,0,0,1
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,1,0,1
37,1,1,1
38,0,1,1
39,0,1,1
40,0,1,1
41,0,1,1
42,0,1,0
43,1,0,0
44,1,0,1
45,1,1,1
46,1,1,1
47,0,1,1
48,0,1,1
49,0,1,1
50,0,1,0
51,0,0,1
52,0,1,0
53,0,0,0
54,0,0,1
55,1,1,0
56,0,0,1
57,0,0,1
58,0,0,0
59,0,1,1
60,0,1,1
61,0,1,1
62,0,1,1
63,0,1,0
64,0,1,0
65,0,1,1
66,0,1,0
67,0,1,0
68,0,1,1
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,1,0,1
75,0,1,1
76,0,1,1
77,0,1,1
78,0,1,1
79,0,1,1
80,0,1,1
81,0,1,1
82,0,1,0
83,0,1,1
84,0,1,1
85,0,0,1
86,0,1,1
87,0,1,1
88,0,1,1
89,0,1,1
90,0,1,1
91,0,1,1
92,0,1,1
93,0,0,0
94,0,0,0
95,0,0,1
96,0,0,0
97,0,1,1
98,0,1,0
99,0,1,1
100,0,1,1
101,0,1,0
102,0,1,1
