TreeID,Eastern Great Lakes Lowlands,Northern Allegheny Plateau,Erie Drift Plain,Northeastern Coastal Zone,Northern Piedmont,Ridge and Valley,Atlantic Coastal Pine Barrens,Northeastern Highlands,North Central Appalachians
1,1,1,0,1,0,0,0,1,1
2,1,1,0,1,1,1,1,1,0
3,1,1,0,1,0,0,0,1,0
4,1,1,1,1,1,1,0,1,1
5,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,0,1,0
7,1,1,0,1,1,1,0,1,0
8,1,1,1,1,1,1,0,1,1
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,1,1,0,1,1,1,1,1,1
12,1,1,0,0,0,0,0,0,0
13,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1
15,0,1,0,1,1,1,0,0,0
16,1,1,1,1,0,1,1,1,0
17,1,1,0,1,1,1,1,1,1
18,1,1,0,1,1,1,1,1,1
19,1,1,0,1,1,1,1,1,0
20,1,1,0,1,1,1,1,1,0
21,1,0,0,1,0,0,0,0,1
22,1,1,0,1,1,1,1,1,0
23,0,0,0,0,0,0,0,0,0
24,1,1,1,1,1,1,1,1,1
25,1,1,0,1,1,1,1,1,0
26,0,0,0,0,0,0,0,0,0
27,1,0,0,1,1,0,1,1,1
28,1,1,0,1,1,1,1,1,0
29,1,1,0,0,0,0,0,1,0
30,1,1,0,1,1,0,1,0,0
31,1,1,0,1,0,0,1,1,0
32,1,1,0,1,0,1,1,1,0
33,1,1,0,1,0,1,0,1,1
34,0,1,0,1,0,0,1,0,0
35,1,0,0,1,0,0,0,1,0
36,0,1,0,1,0,1,0,0,0
37,1,1,0,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,0,1,0
40,1,1,1,1,1,1,1,1,0
41,0,0,0,0,0,0,0,0,0
42,1,1,0,1,0,0,0,0,0
43,1,1,0,1,1,1,1,1,1
44,1,0,0,1,1,0,1,0,0
45,1,1,0,1,1,1,1,1,0
46,1,1,0,1,1,0,1,1,0
47,1,1,0,1,1,1,1,1,0
48,1,1,0,1,0,1,0,1,1
49,0,1,0,1,1,1,1,0,0
50,1,1,1,1,1,1,1,1,1
51,0,0,0,0,0,0,0,0,0
52,1,1,0,1,1,0,1,1,1
53,0,0,0,1,1,1,1,0,0
54,1,1,0,1,0,0,0,0,0
55,1,1,0,1,1,1,1,0,0
56,1,1,0,1,1,1,1,1,0
57,1,1,0,1,1,1,1,1,0
58,0,0,0,0,0,0,0,0,0
59,1,1,1,1,1,0,0,1,0
60,1,1,0,1,0,1,0,1,1
61,1,0,0,1,0,1,1,1,0
62,0,1,0,1,0,1,1,1,0
63,0,0,0,1,1,0,0,0,1
64,1,1,0,1,1,0,0,1,0
65,1,1,0,1,1,1,1,1,0
66,1,1,0,1,1,1,1,1,0
67,0,0,0,0,0,0,0,0,0
68,0,1,0,1,1,0,0,0,0
69,0,1,0,1,1,1,1,1,0
70,1,1,0,1,1,0,1,1,0
71,0,1,0,1,1,1,1,1,0
72,1,1,0,1,1,1,1,1,0
73,1,1,0,1,1,1,1,1,0
74,1,1,1,1,1,1,0,1,0
75,1,1,0,1,1,1,1,1,0
76,1,1,1,1,1,1,1,1,0
77,1,1,0,1,1,1,1,0,0
78,1,1,0,1,1,1,1,1,0
79,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
81,1,1,0,1,0,1,0,1,0
82,0,0,0,1,1,0,1,0,1
83,0,0,0,0,0,0,0,0,0
84,1,1,0,1,1,0,0,1,1
85,1,0,0,1,1,0,1,0,0
86,0,0,0,0,0,0,0,0,0
87,1,1,0,1,1,1,1,1,1
88,0,0,0,1,1,0,0,0,0
89,1,1,1,1,1,1,1,1,0
90,0,0,0,0,0,0,0,0,0
91,0,0,0,1,1,0,1,1,0
92,1,1,0,1,1,1,1,1,0
93,1,1,1,1,0,0,0,0,0
94,1,1,0,1,0,0,1,1,0
95,1,1,0,1,1,1,1,1,1
96,0,1,0,1,1,1,0,1,1
97,1,1,0,1,1,1,1,1,0
98,1,1,0,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1
100,1,1,0,1,1,1,0,1,0
101,1,1,0,1,1,1,0,1,0
102,1,1,0,0,0,0,0,1,0
