Ecoregion (Level III),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Eastern Great Lakes Lowlands,Northern Allegheny Plateau,Erie Drift Plain,Northeastern Coastal Zone,Northern Piedmont,Ridge and Valley,Atlantic Coastal Pine Barrens,Northeastern Highlands,North Central Appalachians
1,1,0,1,0,0,0,1,1
1,1,0,1,1,1,1,1,0
1,1,0,1,0,0,0,1,0
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0
1,1,0,1,1,1,0,1,0
1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,0,0,0
1,1,1,1,0,1,1,1,0
1,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,0
1,0,0,1,0,0,0,0,1
1,1,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,1,1,1
1,1,0,1,1,1,1,1,0
1,1,0,0,0,0,0,1,0
1,1,0,1,1,0,1,0,0
1,1,0,1,0,0,1,1,0
1,1,0,1,0,1,1,1,0
1,1,0,1,0,1,0,1,1
0,1,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0
0,1,0,1,0,1,0,0,0
1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,1,1,1,1,1
1,0,0,1,1,0,1,0,0
1,1,0,1,1,1,1,1,0
1,1,0,1,1,0,1,1,0
1,1,0,1,1,1,1,1,0
1,1,0,1,0,1,0,1,1
0,1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,1
0,0,0,1,1,1,1,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,1,1,1,0,0
1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0
1,1,0,1,0,1,0,1,1
1,0,0,1,0,1,1,1,0
0,1,0,1,0,1,1,1,0
0,0,0,1,1,0,0,0,1
1,1,0,1,1,0,0,1,0
1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0
1,1,0,1,1,0,1,1,0
0,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,0,1,0
1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,0,0
1,1,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,1,0
0,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,1,1
1,0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0
1,1,0,1,1,1,1,1,0
1,1,1,1,0,0,0,0,0
1,1,0,1,0,0,1,1,0
1,1,0,1,1,1,1,1,1
0,1,0,1,1,1,0,1,1
1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1,0
1,1,0,1,1,1,0,1,0
1,1,0,0,0,0,0,1,0
