Ecoregion (Level III),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Eastern Great Lakes Lowlands,Northern Allegheny Plateau,Erie Drift Plain,Northeastern Coastal Zone,Northern Piedmont,Ridge and Valley,Atlantic Coastal Pine Barrens,Northeastern Highlands,North Central Appalachians
True,True,False,True,False,False,False,True,True
True,True,False,True,True,True,True,True,False
True,True,False,True,False,False,False,True,False
True,True,True,True,True,True,False,True,True
True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,False,True,False
True,True,False,True,True,True,False,True,False
True,True,True,True,True,True,False,True,True
False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False
True,True,False,True,True,True,True,True,True
True,True,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True
False,True,False,True,True,True,False,False,False
True,True,True,True,False,True,True,True,False
True,True,False,True,True,True,True,True,True
True,True,False,True,True,True,True,True,True
True,True,False,True,True,True,True,True,False
True,True,False,True,True,True,True,True,False
True,False,False,True,False,False,False,False,True
True,True,False,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True
True,True,False,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False
True,False,False,True,True,False,True,True,True
True,True,False,True,True,True,True,True,False
True,True,False,False,False,False,False,True,False
True,True,False,True,True,False,True,False,False
True,True,False,True,False,False,True,True,False
True,True,False,True,False,True,True,True,False
True,True,False,True,False,True,False,True,True
False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False
False,True,False,True,False,True,False,False,False
True,True,False,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,False,True,False
True,True,True,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False
True,True,False,True,True,True,True,True,True
True,False,False,True,True,False,True,False,False
True,True,False,True,True,True,True,True,False
True,True,False,True,True,False,True,True,False
True,True,False,True,True,True,True,True,False
True,True,False,True,False,True,False,True,True
False,True,False,True,True,True,True,False,False
True,True,True,True,True,True,True,True,True
False,False,False,False,False,False,False,False,False
True,True,False,True,True,False,True,True,True
False,False,False,True,True,True,True,False,False
True,True,False,True,False,False,False,False,False
True,True,False,True,True,True,True,False,False
True,True,False,True,True,True,True,True,False
True,True,False,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False
True,True,True,True,True,False,False,True,False
True,True,False,True,False,True,False,True,True
True,False,False,True,False,True,True,True,False
False,True,False,True,False,True,True,True,False
False,False,False,True,True,False,False,False,True
True,True,False,True,True,False,False,True,False
True,True,False,True,True,True,True,True,False
True,True,False,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False
False,True,False,True,True,False,False,False,False
False,True,False,True,True,True,True,True,False
True,True,False,True,True,False,True,True,False
False,True,False,True,True,True,True,True,False
True,True,False,True,True,True,True,True,False
True,True,False,True,True,True,True,True,False
True,True,True,True,True,True,False,True,False
True,True,False,True,True,True,True,True,False
True,True,True,True,True,True,True,True,False
True,True,False,True,True,True,True,False,False
True,True,False,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,False,True,False
False,False,False,True,True,False,True,False,True
False,False,False,False,False,False,False,False,False
True,True,False,True,True,False,False,True,True
True,False,False,True,True,False,True,False,False
False,False,False,False,False,False,False,False,False
True,True,False,True,True,True,True,True,True
False,False,False,True,True,False,False,False,False
True,True,True,True,True,True,True,True,False
False,False,False,False,False,False,False,False,False
False,False,False,True,True,False,True,True,False
True,True,False,True,True,True,True,True,False
True,True,True,True,False,False,False,False,False
True,True,False,True,False,False,True,True,False
True,True,False,True,True,True,True,True,True
False,True,False,True,True,True,False,True,True
True,True,False,True,True,True,True,True,False
True,True,False,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True
True,True,False,True,True,True,False,True,False
True,True,False,True,True,True,False,True,False
True,True,False,False,False,False,False,True,False
