TreeID,Floodplain / Bottomland, Upland mesic,Upland dry 
1,1,1,0
2,1,0,0
3,1,1,0
4,0,1,0
5,1,1,1
6,1,0,0
7,0,1,0
8,1,1,0
9,1,1,0
10,1,1,0
11,1,1,1
12,1,0,0
13,0,1,0
14,0,1,1
15,1,0,0
16,0,1,0
17,0,1,1
18,1,1,0
19,1,1,1
20,0,1,1
21,1,0,0
22,1,1,1
23,0,1,1
24,0,1,1
25,1,1,1
26,0,1,0
27,1,0,0
28,0,1,1
29,0,1,1
30,0,1,1
31,0,1,1
32,0,1,1
33,0,1,1
34,0,1,1
35,0,1,1
36,1,1,0
37,0,1,0
38,0,1,1
39,1,0,0
40,1,0,0
41,1,1,0
42,1,1,0
43,0,1,1
44,1,1,0
45,0,1,0
46,1,1,0
47,0,1,1
48,1,1,0
49,1,1,0
50,1,1,0
51,1,1,0
52,0,1,0
53,1,0,0
54,0,1,0
55,0,1,1
56,1,1,1
57,0,0,1
58,0,0,1
59,1,1,0
60,1,0,0
61,0,1,0
62,0,0,1
63,0,1,1
64,0,0,1
65,0,0,1
66,0,1,1
67,1,1,0
68,0,0,1
69,1,0,0
70,1,1,0
71,1,1,0
72,1,0,1
73,1,1,1
74,0,0,1
75,0,1,0
76,1,1,1
77,1,0,0
78,0,0,1
79,0,0,1
80,1,1,1
81,1,1,1
82,0,0,1
83,1,0,0
84,0,0,1
85,0,1,1
86,1,0,0
87,1,0,0
88,1,0,0
89,0,1,1
90,0,1,0
91,0,0,1
92,0,1,1
93,1,0,0
94,1,0,0
95,0,1,1
96,1,1,1
97,1,1,1
98,0,1,1
99,1,1,1
100,1,1,0
101,0,1,1
102,0,0,1
