Planting Considerations,Unnamed: 1,Unnamed: 2
Recommended for Windbreak,Deer Resistance,Pest & Pathogen Susceptibility
False,Intermediate,Intermediate
False,Low,Low
False,Intermediate,Low
False,Low,Low
False,Intermediate,Low
True,Intermediate,Low
False,Intermediate,Low
False,Intermediate,Low
False,Low,Low
True,Low,Low
True,Intermediate,Low
False,Low,Low
False,Intermediate,Intermediate
False,Intermediate,Intermediate
True,Low,Intermediate
False,Low,Intermediate
False,Low,Intermediate
False,Low,Low
False,Intermediate,Low
False,Intermediate,Low
False,Intermediate,Low
True,Intermediate,Low
False,Intermediate,Low
False,Low,High
True,Low,Low
False,Intermediate,Low
False,High,Low
False,Intermediate,Intermediate
False,Very Low,Intermediate
False,Low,Intermediate
False,Very Low,Intermediate
False,Low,Intermediate
False,Low,Intermediate
False,Very Low,Intermediate
False,Low,Intermediate
False,Intermediate,Low
False,Low,High
True,Intermediate,High
False,Intermediate,High
True,Intermediate,High
True,Intermediate,Intermediate
True,Low,Low
False,Low,Low
False,Low,Low
False,Intermediate,High
True,Intermediate,Intermediate
True,Low,Low
False,Low,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Low
False,Low,Low
False,Intermediate,Low
False,High,Low
True,Intermediate,Low
False,Intermediate,Low
False,Low,Low
False,Low,Low
False,Intermediate,Low
True,Low,Intermediate
False,Low,Intermediate
False,Low,Intermediate
True,Low,Intermediate
False,Low,Intermediate
True,Low,Intermediate
False,Low,Intermediate
True,Low,Intermediate
False,Low,Intermediate
False,Low,Intermediate
False,Low,Low
False,Low,Low
True,Low,Low
False,Low,Low
False,Low,Low
True,High,Low
False,Low,Low
True,Intermediate,Intermediate
True,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
True,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
True,Intermediate,Intermediate
False,Intermediate,Intermediate
False,Intermediate,Intermediate
True,Intermediate,Intermediate
False,Intermediate,Low
False,Intermediate,Low
False,Intermediate,Intermediate
False,High,Intermediate
True,High,Low
True,High,Low
False,High,High
True,Intermediate,High
False,Intermediate,High
False,Low,High
