TreeID,Species,Common Name,Aggregrated Global Change Tolerance,Aggregated Commercial Production ,National Wetland Indicator (NWI) Status
1,Abies balsamea,balsam fir,Very Poor,Good,FAC
2,Acer negundo,boxelder,Good,Poor,FAC
3,Acer nigrum,black maple,Very Good,Fair,FACU
4,Acer pensylvanicum,striped maple,Poor,Poor,FACU
5,Acer rubrum,red maple,Very Good,Very Good,FAC
6,Acer saccharinum,silver maple,Good,Good,FACW
7,Acer saccharum,sugar maple,Good,Very Good,FACU
8,Acer spicatum,mountain maple,Fair,Poor,FACU
9,Aesculus flava,yellow buckeye,Fair,Poor,FACU
10,Aesculus glabra,Ohio buckeye,Fair,Fair,FAC
11,Amelanchier arborea,common serviceberry,Poor,Good,FACU
12,Asimina triloba,pawpaw,Fair,Fair,FAC
13,Betula alleghaniensis,yellow birch,Poor,Good,FAC
14,Betula lenta,sweet birch,Fair,Good,FACU
15,Betula nigra,river birch,Very Poor,Good,FACW
16,Betula papyrifera,paper birch,Fair,Fair,FACU
17,Betula populifolia,gray birch,Very Poor,Fair,FAC
18,Carpinus caroliniana,American hornbeam,Fair,Good,FAC
19,Carya cordiformis,bitternut hickory,Good,Good,FAC
20,Carya glabra,pignut hickory,Good,Fair,FACU
21,Carya laciniosa,shellbark hickory,Very Poor,Fair,FACW
22,Carya ovata,shagbark hickory,Good,Good,FACU
23,Carya tomentosa,mockernut hickory,Good,Fair,Uncertain
24,Castanea dentata,American chestnut,Good,Fair,Uncertain
25,Celtis occidentalis,common hackberry,Good,Fair,FAC
26,Cercis canadensis,eastern redbud,Good,Poor,FACU
27,Chamaecyparis thyoides,Atlantic white cedar,Poor,Fair,OBL
28,Cornus florida,flowering dogwood,Fair,Fair,FACU
29,Crataegus chrysocarpa,fireberry hawthorn,Uncertain,Poor,Uncertain
30,Crataegus crus-galli,cockspur hawthorn,Uncertain,Poor,FAC
31,Crataegus intricata,Copenhagen hawthorn,Uncertain,Poor,Uncertain
32,Crataegus macrosperma,bigfruit hawthorn,Uncertain,Poor,Uncertain
33,Crataegus pruinosa,waxyfruit hawthorn,Uncertain,Poor,Uncertain
34,Crataegus submollis,Quebec hawthorn,Uncertain,Poor,Uncertain
35,Crataegus succulenta,fleshy hawthorn,Uncertain,Poor,Uncertain
36,Diospyros virginiana,common persimmon,Very Good,Fair,FAC
37,Fagus grandifolia,American beech,Fair,Good,FACU
38,Fraxinus americana,white ash,Poor,Good,FACU
39,Fraxinus nigra,black ash,Very Poor,Fair,FACW
40,Fraxinus pennsylvanica,green ash,Fair,Fair,FACW
41,Gleditsia triacanthos,honeylocust,Very Good,Poor,FAC
42,Gymnocladus dioicus,Kentucky coffeetree,Uncertain,Fair,Uncertain
43,Hamamelis virginiana,American witchhazel,Uncertain,Fair,FACU
44,Ilex opaca,American holly,Good,Good,FACU
45,Juglans cinerea,butternut,Poor,Good,FACU
46,Juglans nigra,black walnut,Fair,Very Good,FACU
47,Juniperus virginiana,eastern redcedar,Fair,Very Good,FACU
48,Larix laricina,tamarack,Very Poor,Fair,FACW
49,Liquidambar styraciflua,sweetgum,Good,Fair,FAC
50,Liriodendron tulipifera,tuliptree,Good,Fair,FACU
51,Maclura pomifera,Osage-orange,Uncertain,Poor,FACU
52,Magnolia acuminata,cucumber tree,Poor,Fair,FACU
53,Magnolia virginiana,sweetbay,Very Good,Very Poor,FACW
54,Malus coronaria,sweet crab apple,Uncertain,Poor,Uncertain
55,Morus rubra,red mulberry,Good,Fair,FACU
56,Nyssa sylvatica,blackgum,Good,Fair,FAC
57,Ostrya virginiana,hophornbeam,Good,Fair,FACU
58,Oxydendrum arboreum,sourwood,Uncertain,Poor,FACU
59,Picea glauca,white spruce,Very Poor,Good,FACU
60,Picea mariana,black spruce,Poor,Fair,FACW
61,Picea rubens,red spruce,Very Poor,Fair,FACU
62,Pinus banksiana,jack pine,Fair,Fair,FACU
63,Pinus echinata,shortleaf pine,Fair,Poor,Uncertain
64,Pinus resinosa,red pine,Poor,Good,FACU
65,Pinus rigida,pitch pine,Poor,Fair,FACU
66,Pinus strobus,eastern white pine,Poor,Good,FACU
67,Pinus taeda,loblolly pine,Fair,Poor,Uncertain
