Ecological Value,,
Known Ecological Interactions (#),Attracts Pollinators,Attracts Birds
635,,
500,x,
203,,
325,,
668,,x
539,x,
609,x,
510,,
77,x,
290,x,x
507,x,x
274,x,
634,,x
506,,
393,,x
514,,
383,,
607,,x
303,,
452,,
56,,
562,,
411,,
784,,
546,,x
499,x,x
241,,
662,x,x
59,,
392,x,x
248,x,
34,,
33,,
294,x,
44,,
517,x,x
580,x,
577,x,x
384,,
501,,x
594,x,
159,x,
515,x,
569,x,
399,,
578,,
642,,
510,,
527,,
538,x,x
269,,
142,x,
299,x,
181,x,x
248,,x
494,x,x
664,,
192,x,
564,,
759,,
460,,
714,,
372,,
740,,
508,,
606,,
613,,
461,,
595,,
695,,
526,x,
558,,
699,x,x
517,x,
520,x,x
512,,
537,,
512,,
419,,
207,,
625,,
384,,
485,,
516,,
204,,
78,,
513,,
536,,
522,,
94,,
517,,
593,,
339,x,
593,x,
533,x,
526,x,
731,,
549,x,
551,,
564,x,
382,x,
84,,
