Edible Fruit/Nut/Seed ,Lumber,Fuelwood
,x,
,,
,x,x
,,
,x,
,x,x
,x,x
,,
,,x
,x,x
x,,
x,,
,x,x
,x,x
,,
,x,x
,,x
,,x
,x,x
,x,x
x,x,x
x,x,x
,x,x
x,x,x
,x,x
,,
,x,
,,
,,
,,x
,,
,,
,,
,,
,,
x,,x
x,x,x
,x,x
,x,x
,x,x
,x,x
,x,
x,,
x,,x
x,x,x
x,x,x
,x,x
,x,x
,x,x
,x,
,,x
,x,
,,
,,x
x,x,
,,x
,,x
,,
,x,x
,x,x
,x,x
,x,x
,x,
,x,
,x,x
,x,
,x,
,x,x
,x,
,x,
,x,
,x,
,x,
x,,x
,x,x
,x,x
,x,x
,x,x
,x,x
,x,x
,x,x
,x,
,x,x
,x,x
,,x
,x,x
,x,x
,x,x
,x,x
,x,x
,x,x
,x,x
,,
,,
,,x
,,
,x,x
,x,
,x,x
,x,x
,x,
,x,x
