Landform Preference,,
Floodplain / Bottomland, Upland mesic,Upland dry 
x,x,
x,,
x,x,
,x,
x,x,x
x,,
,x,
x,x,
x,x,
x,x,
x,x,x
x,,
,x,
,x,x
x,,
,x,
,x,x
x,x,
x,x,x
,x,x
x,,
x,x,x
,x,x
,x,x
x,x,x
,x,
x,,
,x,x
,x,x
,x,x
,x,x
,x,x
,x,x
,x,x
,x,x
x,x,
,x,
,x,x
x,,
x,,
x,x,
x,x,
,x,x
x,x,
,x,
x,x,
,x,x
x,x,
x,x,
x,x,
x,x,
,x,
x,,
,x,
,x,x
x,x,x
,,x
,,x
x,x,
x,,
,x,
,,x
,x,x
,,x
,,x
,x,x
x,x,
,,x
x,,
x,x,
x,x,
x,,x
x,x,x
,,x
,x,
x,x,x
x,,
,,x
,,x
x,x,x
x,x,x
,,x
x,,
,,x
,x,x
x,,
x,,
x,,
,x,x
,x,
,,x
,x,x
x,,
x,,
,x,x
x,x,x
x,x,x
,x,x
x,x,x
x,x,
,x,x
,,x
