Site Chemistry Preference,,
Soil Acidity Tolerance,Soil Alkainity Tolerance,Salt Tolerance
High,Low,Low
Intermediate,Low,High
Intermediate,Low,Low
High,Low,Low
High,Low,Low
High,Low,Intermediate
High,High,Low
Intermediate,Low,Low
Intermediate,Low,Low
Intermediate,Low,Low
Intermediate,Intermediate,Intermediate
Intermediate,Low,Low
High,High,High
High,Low,High
High,Low,Low
High,Low,High
High,Low,High
High,Low,Low
Intermediate,Intermediate,Low
Intermediate,Intermediate,Low
Intermediate,Low,Low
High,Intermediate,Intermediate
Intermediate,Low,Low
Intermediate,Low,Low
Low,Intermediate,Intermediate
Intermediate,High,Low
High,Low,Low
Intermediate,Intermediate,Low
Low,Intermediate,Low
Intermediate,Low,High
Low,Intermediate,Low
Low,Intermediate,Low
Low,Intermediate,Low
Low,Intermediate,Low
Low,Intermediate,Low
Intermediate,Intermediate,Intermediate
High,Low,Low
Intermediate,Intermediate,High
High,High,Low
Intermediate,High,Intermediate
Intermediate,High,High
Low,High,High
Intermediate,Low,Low
Intermediate,Low,High
Low,Low,Low
Intermediate,High,Low
Intermediate,High,Intermediate
Intermediate,Low,Intermediate
Intermediate,Low,Low
Intermediate,Low,Intermediate
Intermediate,Intermediate,Intermediate
Low,Low,Low
Intermediate,Low,Low
Low,Intermediate,Low
Intermediate,Low,Low
Intermediate,Low,High
High,Intermediate,Low
High,Low,Low
High,High,High
Intermediate,Low,Low
High,Low,Low
Low,High,Intermediate
High,Low,Low
Intermediate,Low,Low
High,Low,Low
High,Low,Intermediate
High,Low,Low
Intermediate,Intermediate,Low
Intermediate,Low,Low
Intermediate,Low,Low
Intermediate,Low,High
Intermediate,Low,High
High,Low,High
High,Intermediate,Low
High,Intermediate,High
Intermediate,Low,High
High,Low,Low
Intermediate,Low,Low
Intermediate,Low,Low
Intermediate,Low,Intermediate
Intermediate,Intermediate,Intermediate
Intermediate,Low,High
Intermediate,Low,Low
Intermediate,Low,Low
Intermediate,High,Low
Intermediate,Low,Low
Intermediate,Low,Intermediate
Intermediate,Low,Low
High,Intermediate,High
Intermediate,Intermediate,Low
Intermediate,Low,Low
Intermediate,Low,Low
Low,High,Low
Intermediate,High,High
Intermediate,Intermediate,Low
Intermediate,Low,Low
Intermediate,Low,High
Intermediate,Intermediate,Low
High,Low,Low
Intermediate,High,Intermediate
Intermediate,Intermediate,Low
Intermediate,Low,Low
