Species Characteristics ,,,,
"Lifespan (years, avg.)","Tree height (ft, avg.)","Canopy Spread (ft, avg.)",Growth Rate,Shade Tolerance
80,60,20,Slow,High
75,40,40,Rapid,High
150,67,50,Moderate,High
100,20,16,Slow,High
80,65,40,Rapid,High
100,65,52,Rapid,Intermediate
300,60,45,Slow,High
50,25,25,Moderate,High
100,63,40,Moderate,High
90,30,30,Rapid,High
40,20,20,Slow,High
40,22,22,Slow,High
150,67,67,Slow,Intermediate
150,57,37,Moderate,Low
50,55,50,Rapid,Low
100,60,37,Rapid,Low
50,30,15,Rapid,Intermediate
100,27,27,Slow,High
175,65,40,Slow,Low
200,65,32,Slow,Intermediate
350,70,50,Slow,High
250,80,60,Slow,Intermediate
200,70,50,Slow,Intermediate
100,62,62,Rapid,Low
150,50,50,Rapid,High
75,25,30,Slow,High
200,40,35,Moderate,Intermediate
125,22,22,Moderate,High
250,19,19,Moderate,Low
250,25,27,Moderate,Low
250,9,9,Moderate,Low
250,26,26,Moderate,Low
250,19,19,Moderate,Low
250,23,23,Moderate,Low
250,19,19,Moderate,Low
60,47,30,Slow,High
300,65,60,Slow,High
260,70,70,Moderate,Low
150,82,82,Slow,Low
125,60,47,Rapid,High
120,70,70,Rapid,Low
75,70,47,Slow,Low
20,18,18,Slow,Intermediate
100,22,15,Slow,High
75,50,50,Rapid,Low
150,88,88,Rapid,Low
150,48,16,Slow,Intermediate
150,60,22,Rapid,Low
200,70,50,Rapid,Low
200,75,40,Rapid,Low
75,47,47,Moderate,Low
80,55,27,Rapid,Intermediate
80,22,22,Moderate,Intermediate
50,18,16,Moderate,Low
125,42,38,Moderate,High
150,40,25,Moderate,High
100,32,25,Slow,High
100,35,18,Slow,High
175,50,15,Slow,Intermediate
200,65,13,Slow,High
350,98,20,Moderate,High
80,42,25,Rapid,Low
200,55,27,Rapid,Low
200,65,22,Rapid,Low
200,49,23,Rapid,Low
200,65,30,Rapid,Intermediate
100,65,30,Rapid,Low
100,49,19,Rapid,Low
250,88,88,Rapid,Intermediate
100,98,26,Rapid,Low
60,65,47,Rapid,Low
70,65,47,Rapid,Low
70,35,20,Rapid,Low
30,39,26,Rapid,Low
100,65,45,Rapid,Low
300,65,65,Slow,Intermediate
200,55,55,Rapid,Intermediate
150,60,45,Rapid,Low
150,70,45,Moderate,Intermediate
200,50,50,Moderate,Low
200,70,70,Slow,Intermediate
100,30,30,Slow,Low
100,50,40,Moderate,Low
300,60,60,Slow,Intermediate
150,50,60,Moderate,Low
300,120,50,Moderate,Low
100,60,50,Rapid,Low
200,58,38,Rapid,Low
200,62,62,Moderate,Intermediate
200,50,35,Moderate,Low
250,42,42,Slow,Low
100,55,55,Moderate,Intermediate
75,60,60,Rapid,Low
70,45,45,Rapid,Low
100,45,32,Moderate,Low
50,22,20,Moderate,Intermediate
300,30,13,Slow,Intermediate
100,65,40,Moderate,High
450,55,30,Slow,High
175,70,55,Rapid,Intermediate
200,50,40,Rapid,High
125,98,65,Moderate,Intermediate
