Species,Common Name,Aggregrated Global Change Tolerance,Aggregated Commercial Production ,National Wetland Indicator (NWI) Status
Abies balsamea,balsam fir,Very Poor,Good,FAC
Acer negundo,boxelder,Good,Poor,FAC
Acer nigrum,black maple,Very Good,Fair,FACU
Acer pensylvanicum,striped maple,Poor,Poor,FACU
Acer rubrum,red maple,Very Good,Very Good,FAC
Acer saccharinum,silver maple,Good,Good,FACW
Acer saccharum,sugar maple,Good,Very Good,FACU
Acer spicatum,mountain maple,Fair,Poor,FACU
Aesculus flava,yellow buckeye,Fair,Poor,FACU
Aesculus glabra,Ohio buckeye,Fair,Fair,FAC
Amelanchier arborea,common serviceberry,Poor,Good,FACU
Asimina triloba,pawpaw,Fair,Fair,FAC
Betula alleghaniensis,yellow birch,Poor,Good,FAC
Betula lenta,sweet birch,Fair,Good,FACU
Betula nigra,river birch,Very Poor,Good,FACW
Betula papyrifera,paper birch,Fair,Fair,FACU
Betula populifolia,gray birch,Very Poor,Fair,FAC
Carpinus caroliniana,American hornbeam,Fair,Good,FAC
Carya cordiformis,bitternut hickory,Good,Good,FAC
Carya glabra,pignut hickory,Good,Fair,FACU
Carya laciniosa,shellbark hickory,Very Poor,Fair,FACW
Carya ovata,shagbark hickory,Good,Good,FACU
Carya tomentosa,mockernut hickory,Good,Fair,NA
Castanea dentata,American chestnut,Good,Fair,NA
Celtis occidentalis,common hackberry,Good,Fair,FAC
Cercis canadensis,eastern redbud,Good,Poor,FACU
Chamaecyparis thyoides,Atlantic white cedar,Poor,Fair,OBL
Cornus florida,flowering dogwood,Fair,Fair,FACU
Crataegus chrysocarpa,fireberry hawthorn,NA,Poor,NA
Crataegus crus-galli,cockspur hawthorn,NA,Poor,FAC
Crataegus intricata,Copenhagen hawthorn,NA,Poor,NA
Crataegus macrosperma,bigfruit hawthorn,NA,Poor,NA
Crataegus pruinosa,waxyfruit hawthorn,NA,Poor,NA
Crataegus submollis,Quebec hawthorn,NA,Poor,NA
Crataegus succulenta,fleshy hawthorn,NA,Poor,NA
Diospyros virginiana,common persimmon,Very Good,Fair,FAC
Fagus grandifolia,American beech,Fair,Good,FACU
Fraxinus americana,white ash,Poor,Good,FACU
Fraxinus nigra,black ash,Very Poor,Fair,FACW
Fraxinus pennsylvanica,green ash,Fair,Fair,FACW
Gleditsia triacanthos,honeylocust,Very Good,Poor,FAC
Gymnocladus dioicus,Kentucky coffeetree,NA,Fair,NA
Hamamelis virginiana,American witchhazel,NA,Fair,FACU
Ilex opaca,American holly,Good,Good,FACU
Juglans cinerea,butternut,Poor,Good,FACU
Juglans nigra,black walnut,Fair,Very Good,FACU
Juniperus virginiana,eastern redcedar,Fair,Very Good,FACU
Larix laricina,tamarack,Very Poor,Fair,FACW
Liquidambar styraciflua,sweetgum,Good,Fair,FAC
Liriodendron tulipifera,tuliptree,Good,Fair,FACU
Maclura pomifera,Osage-orange,NA,Poor,FACU
Magnolia acuminata,cucumber tree,Poor,Fair,FACU
Magnolia virginiana,sweetbay,Very Good,Very Poor,FACW
Malus coronaria,sweet crab apple,NA,Poor,NA
Morus rubra,red mulberry,Good,Fair,FACU
Nyssa sylvatica,blackgum,Good,Fair,FAC
Ostrya virginiana,hophornbeam,Good,Fair,FACU
Oxydendrum arboreum,sourwood,NA,Poor,FACU
Picea glauca,white spruce,Very Poor,Good,FACU
Picea mariana,black spruce,Poor,Fair,FACW
Picea rubens,red spruce,Very Poor,Fair,FACU
Pinus banksiana,jack pine,Fair,Fair,FACU
Pinus echinata,shortleaf pine,Fair,Poor,NA
Pinus resinosa,red pine,Poor,Good,FACU
Pinus rigida,pitch pine,Poor,Fair,FACU
Pinus strobus,eastern white pine,Poor,Good,FACU
Pinus taeda,loblolly pine,Fair,Poor,NA
Pinus virginiana,Virginia pine,Fair,Fair,NA
Platanus occidentalis,American sycamore,Good,Good,FACW
Populus balsamifera,balsam poplar,Very Poor,Poor,FACW
Populus deltoides,eastern cottonwood,Poor,Fair,FAC
Populus grandidentata,bigtooth aspen,Good,Fair,FACU
Populus tremuloides,quaking aspen,Poor,Poor,FACU
Prunus pensylvanica,pin cherry,Poor,Fair,FACU
Prunus serotina,black cherry,Poor,Very Good,FACU
Quercus alba,white oak,Very Good,Good,FACU
Quercus bicolor,swamp white oak,Poor,Good,FACW
Quercus coccinea,scarlet oak,Fair,Fair,NA
Quercus falcata,southern red oak,Very Good,Fair,FACU
Quercus imbricaria,shingle oak,Good,Fair,FACU
Quercus macrocarpa,bur oak,Fair,Good,FACU
Quercus marilandica,blackjack oak,Very Good,Fair,NA
Quercus michauxii,swamp chestnut oak,Good,Poor,FACW
Quercus montana,chestnut oak,Very Good,Fair,UPL
Quercus muehlenbergii,chinquapin oak,Good,Poor,FACU
Quercus pagoda,cherrybark oak,Fair,Poor,FACW
Quercus palustris,pin oak,Very Poor,Fair,FACW
Quercus phellos,willow oak,Good,Fair,FACW
Quercus rubra,northern red oak,Very Good,Good,FACU
Quercus shumardii,Shumard's oak,Very Good,Poor,FACW
Quercus stellata,post oak,Good,Fair,FACU
Quercus velutina,black oak,Good,Good,NA
Salix amygdaloides,peachleaf willow,Fair,Very Poor,FACW
Salix nigra,black willow,Very Poor,Fair,OBL
Sassafras albidum,sassafras,Good,Poor,FACU
Sorbus americana,American mountain ash,Very Poor,Poor,FAC
Thuja occidentalis,northern white-cedar,Fair,Good,FACW
Tilia americana,American basswood,Good,Good,FACU
Tsuga canadensis,eastern hemlock,Poor,Good,FACU
Ulmus americana,American elm,Fair,Good,FACW
Ulmus rubra,slippery elm,Fair,Fair,FAC
Ulmus thomasii,rock elm,Poor,Poor,FAC
